año,pais,c.poblacion,pibpc,desempleo,expect.vida,acc.electricidad
2006,Costa Rica,1.43284202712965,5188.36179215965,5.74,78.514,99.147523
2006,United States,0.964253917136075,46302.0008800056,4.62,77.6878048780488,100.0
2006,Mexico,1.36053857389621,9125.3877388645,3.57,74.331,99.11416
2006,Canada,1.01033450270045,40504.0607253203,6.32,80.5436585365854,100.0
2006,Bolivia,1.74713275481179,1200.06809196654,2.575,64.779,76.211281
2006,"Venezuela, RB",1.61167342545955,6769.86841430715,8.61,72.742,99.3
2006,Paraguay,1.04976165973902,2426.41709770871,5.28,70.781,96.749045
2006,Uruguay,0.139067397498697,5942.1266667126,10.84,76.362,98.505426
2006,Ecuador,1.72111503482542,3340.84090289849,3.55,74.689,96.315259
2006,Peru,0.827239266792745,3123.32015935927,4.17,73.172,80.157275
2006,Chile,0.979795955667856,9418.0627175215,9.02,78.261,99.368108
2006,Argentina,1.03467173566483,5890.97800169795,10.08,75.433,96.9644088745117
2006,Brazil,1.07735384590771,5866.02431314405,9.69,72.037,97.594314
2006,Colombia,1.29886517669187,3782.60350413031,10.963,73.468,95.7262268066406
2007,Costa Rica,1.40273700394929,6055.08677891562,4.49,78.462,99.217998
2007,United States,0.951055242772428,48050.2237771135,4.62,77.9878048780488,100.0
2007,Mexico,1.31623681916458,9719.9278639964,3.63,74.238,97.9146041870117
2007,Canada,0.971135141368055,44659.8951408034,6.04,80.5436585365854,100.0
2007,Bolivia,1.75023288737608,1351.03515410788,2.643,65.027,80.156567
2007,"Venezuela, RB",1.5487692066186,8369.23526829668,7.28,73.058,98.8523712158203
2007,Paraguay,0.997237882485964,3194.26298162817,4.71,71.106,96.452771
2007,Uruguay,0.19152206004265,7149.37463386796,9.4,76.498,98.692636
2007,Ecuador,1.7181335805958,3579.03224391806,3.14,74.844,96.812618
2007,Peru,0.769759369616088,3572.36358879114,4.08,73.223,81.988131
2007,Chile,0.980589313160657,10461.3660887507,8.43,77.826,98.0392684936523
2007,Argentina,1.00629733064648,7210.59554755899,8.47,75.006,97.2243957519531
2007,Brazil,1.03202723327326,7323.19034003928,9.28,72.365,98.125382
2007,Colombia,1.23996744251378,4762.08297292255,10.25,73.837,95.9804077148438
2008,Costa Rica,1.38455388597677,6841.91145979684,4.78,78.445,99.263937
2008,United States,0.945865287282592,48570.0459804586,5.78,78.0390243902439,100.0
